Membership No  Date Joined  Active  
    88180      2019-3-16    yes   
    17208      2017-8-2     yes   
    58469      2019-6-24    no    
    53536      2016-8-20    no    
    92648      2017-4-10    no    
    42182      2016-7-7     no    
    76332      2017-6-23    yes   
    82274      2015-4-14    yes   
    50638      2020-6-20    yes   
    96099      2019-12-4    yes   
    94941      2015-6-25    yes   
    12252      2018-7-20    yes   
    17195      2019-6-19    yes   
    16271      2019-1-3     no    
    41181      2015-5-5     no    
    49061      2016-4-22    yes   
    79121      2020-9-25    yes   
    93564      2016-5-14    yes   
    53245      2015-11-14   yes   
    79798      2015-3-18    no    
